NAME,B25077_001E,state_median_value,place_median_value,B25102_001E,state_property_taxes,place_property_taxes,Effective_Tax_Rate
"Auburn city, Alabama",319300,01,03076,14018.0,01,03076,4.3902286251174445
"Birmingham city, Alabama",117600,01,07000,40665.0,01,07000,34.579081632653065
"Dothan city, Alabama",169200,01,21184,16718.0,01,21184,9.880614657210401
"Hoover city, Alabama",363200,01,35896,25993.0,01,35896,7.156662995594713
"Huntsville city, Alabama",250400,01,37000,59015.0,01,37000,23.56829073482428
"Mobile city, Alabama",158200,01,50000,41443.0,01,50000,26.196586599241467
"Montgomery city, Alabama",136800,01,51000,45969.0,01,51000,33.603070175438596
"Tuscaloosa city, Alabama",217200,01,77256,16377.0,01,77256,7.540055248618785
"Anchorage municipality, Alaska",346200,02,03000,69699.0,02,03000,20.132582322357017
"Avondale city, Arizona",334900,04,04720,16016.0,04,04720,4.7823230815168705
"Buckeye city, Arizona",333300,04,07940,28562.0,04,07940,8.569456945694569
"Casas Adobes CDP, Arizona",271900,04,10670,21447.0,04,10670,7.887826406767194
"Chandler city, Arizona",435100,04,12000,71036.0,04,12000,16.326361755918178
"Flagstaff city, Arizona",457500,04,23620,11941.0,04,23620,2.610054644808743
"Gilbert town, Arizona",484600,04,27400,69983.0,04,27400,14.441394964919521
"Glendale city, Arizona",325400,04,27820,52463.0,04,27820,16.122618315918867
"Goodyear city, Arizona",401400,04,28380,25725.0,04,28380,6.408819133034379
"Mesa city, Arizona",350100,04,46000,126146.0,04,46000,36.0314195944016
"Peoria city, Arizona",407600,04,54050,58326.0,04,54050,14.309617271835132
"Phoenix city, Arizona",352600,04,55000,354237.0,04,55000,100.46426545660805
"Queen Creek town, Arizona",516100,04,58150,18559.0,04,58150,3.5960085254795584
"San Tan Valley CDP, Arizona",347000,04,64210,26584.0,04,64210,7.661095100864554
"Scottsdale city, Arizona",674900,04,65000,80132.0,04,65000,11.873166395021485
"Surprise city, Arizona",354100,04,71510,43073.0,04,71510,12.164077944083592
"Tempe city, Arizona",414600,04,73000,32131.0,04,73000,7.749879401833091
"Tucson city, Arizona",224800,04,77000,114708.0,04,77000,51.02669039145907
"Yuma city, Arizona",189000,04,85540,21480.0,04,85540,11.365079365079366
"Conway city, Arkansas",230900,05,15190,11190.0,05,15190,4.846253789519272
"Fayetteville city, Arkansas",272300,05,23290,18780.0,05,23290,6.89680499449137
"Fort Smith city, Arkansas",146200,05,24550,20687.0,05,24550,14.149794801641589
"Jonesboro city, Arkansas",197600,05,35710,17625.0,05,35710,8.919534412955466
"Little Rock city, Arkansas",191700,05,41000,49236.0,05,41000,25.683881064162755
"Rogers city, Arkansas",225300,05,60410,15036.0,05,60410,6.673768308921438
"Springdale city, Arkansas",215900,05,66080,16181.0,05,66080,7.494673459935155
"Alameda city, California",1077900,06,00562,13680.0,06,00562,1.2691344280545505
"Alhambra city, California",718100,06,00884,11196.0,06,00884,1.5591143294805736
"Anaheim city, California",688400,06,02000,51684.0,06,02000,7.507844276583382
"Antioch city, California",577900,06,02252,23652.0,06,02252,4.0927496106592836
"Apple Valley town, California",353500,06,02364,16147.0,06,02364,4.567751060820368
"Arden-Arcade CDP, California",480300,06,02553,18374.0,06,02553,3.825525713095982
"Bakersfield city, California",318600,06,03526,78398.0,06,03526,24.60703075957313
"Baldwin Park city, California",536500,06,03666,12751.0,06,03666,2.3767008387698043
"Bellflower city, California",595800,06,04982,8958.0,06,04982,1.5035246727089626
"Buena Park city, California",666800,06,08786,14260.0,06,08786,2.1385722855428915
"Burbank city, California",940400,06,08954,19869.0,06,08954,2.1128243300723097
"Camarillo city, California",694200,06,10046,18218.0,06,10046,2.62431575914722
"Carlsbad city, California",1042900,06,11194,29623.0,06,11194,2.8404449132227443
"Carmichael CDP, California",495600,06,11390,16613.0,06,11390,3.3520984665052462
"Carson city, California",595900,06,11530,18898.0,06,11530,3.171337472730324
"Castro Valley CDP, California",1004800,06,11964,16968.0,06,11964,1.6886942675159236
"Chico city, California",420100,06,13014,18155.0,06,13014,4.321590097595811
"Chino city, California",589200,06,13210,17433.0,06,13210,2.9587576374745415
"Chino Hills city, California",787400,06,13214,19216.0,06,13214,2.440436880873762
"Chula Vista city, California",655100,06,13392,48589.0,06,13392,7.417035567088994
"Citrus Heights city, California",406500,06,13588,19866.0,06,13588,4.8870848708487085
"Clovis city, California",418000,06,14218,26752.0,06,14218,6.4
"Compton city, California",537700,06,15044,18076.0,06,15044,3.3617258694439283
"Concord city, California",719000,06,16000,26282.0,06,16000,3.655354659248957
