NAME,B25077_001E,state_median_value,place_median_value,B25102_001E,state_property_taxes,place_property_taxes,Effective_Tax_Rate
"Birmingham city, Alabama",117600,01,07000,40665.0,01,07000,34.579081632653065
"Anchorage municipality, Alaska",346200,02,03000,69699.0,02,03000,20.132582322357017
"Mesa city, Arizona",350100,04,46000,126146.0,04,46000,36.0314195944016
"Phoenix city, Arizona",352600,04,55000,354237.0,04,55000,100.46426545660805
"Tucson city, Arizona",224800,04,77000,114708.0,04,77000,51.02669039145907
"Little Rock city, Arkansas",191700,05,41000,49236.0,05,41000,25.683881064162755
"Bakersfield city, California",318600,06,03526,78398.0,06,03526,24.60703075957313
"Fresno city, California",321300,06,27000,91233.0,06,27000,28.394957983193276
"Long Beach city, California",693600,06,43000,69470.0,06,43000,10.015859284890427
"Los Angeles city, California",812800,06,44000,521485.0,06,44000,64.15907972440945
"Oakland city, California",848600,06,53000,72661.0,06,53000,8.562455809568702
"Sacramento city, California",449600,06,64000,103994.0,06,64000,23.130338078291814
"San Diego city, California",768800,06,66000,251507.0,06,66000,32.71422996878252
"San Francisco city, California",1306400,06,67000,140809.0,06,67000,10.778398652786283
"San Jose city, California",1119500,06,68000,179797.0,06,68000,16.060473425636445
"Colorado Springs city, Colorado",390500,08,16000,123398.0,08,16000,31.6
"Denver city, Colorado",541500,08,20000,164429.0,08,20000,30.365466297322254
"Bridgeport city, Connecticut",222800,09,08000,24938.0,09,08000,11.192998204667862
"Wilmington city, Delaware",200900,10,77580,16579.0,10,77580,8.252364360378298
"Washington city, District of Columbia",669900,11,50000,132936.0,11,50000,19.844155844155846
"Jacksonville city, Florida",239400,12,35000,226429.0,12,35000,94.58187134502924
"Miami city, Florida",411300,12,45000,58463.0,12,45000,14.214198881594942
"Atlanta city, Georgia",375500,13,04000,113092.0,13,04000,30.117709720372837
"Urban Honolulu CDP, Hawaii",733000,15,71550,68458.0,15,71550,9.339427012278307
"Boise City city, Idaho",460200,16,08830,62684.0,16,08830,13.621034332898741
"Aurora city, Illinois",232400,17,03012,43361.0,17,03012,18.657917383820998
"Chicago city, Illinois",297300,17,14000,530977.0,17,14000,178.59973091153716
"Indianapolis city (balance), Indiana",188700,18,36003,201149.0,18,36003,106.59724430312664
"Des Moines city, Iowa",165100,19,21000,57606.0,19,21000,34.8915808600848
"Wichita city, Kansas",165700,20,79000,91527.0,20,79000,55.236572118286055
"Louisville/Jefferson County metro government (balance), Kentucky",203900,21,48006,161709.0,21,48006,79.30799411476214
"New Orleans city, Louisiana",279100,22,55000,83516.0,22,55000,29.92332497312791
"Baltimore city, Maryland",193100,24,04000,123249.0,24,04000,63.82651475919213
"Boston city, Massachusetts",659700,25,07000,94497.0,25,07000,14.324238290131877
"Detroit city, Michigan",69300,26,22000,129084.0,26,22000,186.26839826839827
"Minneapolis city, Minnesota",319100,27,43000,93981.0,27,43000,29.45189595738013
"Kansas City city, Missouri",213400,29,38000,118384.0,29,38000,55.47516401124648
"Billings city, Montana",290000,30,06550,33559.0,30,06550,11.572068965517241
"Omaha city, Nebraska",211900,31,37000,117404.0,31,37000,55.40537989617744
"Las Vegas city, Nevada",362400,32,40000,138677.0,32,40000,38.266280353200884
"Manchester city, New Hampshire",321300,33,45140,23884.0,33,45140,7.4335511982570806
"Newark city, New Jersey",323200,34,51000,24002.0,34,51000,7.4263613861386135
"Albuquerque city, New Mexico",251500,35,02000,147964.0,35,02000,58.832604373757455
"Buffalo city, New York",155200,36,11000,54108.0,36,11000,34.863402061855666
"New York city, New York",685700,36,51000,1085936.0,36,51000,158.3689660201254
"Charlotte city, North Carolina",321400,37,12000,193930.0,37,12000,60.33914125700062
"Raleigh city, North Carolina",340200,37,55000,103367.0,37,55000,30.384185773074663
"Fargo city, North Dakota",238600,38,25700,25536.0,38,25700,10.702430846605198
"Columbus city, Ohio",219200,39,18000,175427.0,39,18000,80.03056569343066
"Oklahoma City city, Oklahoma",190900,40,55000,164470.0,40,55000,86.15505500261918
"Tulsa city, Oklahoma",172000,40,75000,89307.0,40,75000,51.92267441860465
"Portland city, Oregon",520200,41,59000,153121.0,41,59000,29.435024990388314
"Philadelphia city, Pennsylvania",220700,42,60000,348935.0,42,60000,158.10376076121432
"Providence city, Rhode Island",291200,44,59000,27713.0,44,59000,9.516826923076923
"Charleston city, South Carolina",420800,45,13330,36857.0,45,13330,8.7587927756654
"Sioux Falls city, South Dakota",249600,46,59020,51017.0,46,59020,20.439503205128204
"Memphis city, Tennessee",142800,47,48000,119622.0,47,48000,83.76890756302521
"Nashville-Davidson metropolitan government (balance), Tennessee",346700,47,52006,162426.0,47,52006,46.8491491202769
"Arlington city, Texas",254700,48,04000,78883.0,48,04000,30.970946211228895
"Austin city, Texas",482900,48,05000,196458.0,48,05000,40.68295713398219
"Dallas city, Texas",267600,48,19000,229518.0,48,19000,85.76905829596413
"El Paso city, Texas",152800,48,24000,147788.0,48,24000,96.71989528795811
"Fort Worth city, Texas",249000,48,27000,185197.0,48,27000,74.37630522088354
"Houston city, Texas",236700,48,35000,390226.0,48,35000,164.8610054921842
"San Antonio city, Texas",197600,48,65000,290123.0,48,65000,146.82338056680163
"Salt Lake City city, Utah",459800,49,67000,42681.0,49,67000,9.282514136581122
"Virginia Beach city, Virginia",328500,51,82000,119144.0,51,82000,36.26910197869102
"Seattle city, Washington",848100,53,63000,161587.0,53,63000,19.052823959438744
"Milwaukee city, Wisconsin",160100,55,53000,96044.0,55,53000,59.99000624609619
"Cheyenne city, Wyoming",276100,56,13900,17908.0,56,13900,6.48605577689243
